gene_symbol,Rab3gap2
pvalue,0.360983
analysis_id,7fd24d2g29x196r
mouse_life_stage,Early adult
parameter_name,Thyroxine
gene_accession_id,MGI:1916043
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
