analysis_id,j376td13j5q67de
parameter_name,Periphery average speed
parameter_id,JAX_OFD_013_001
mouse_strain,C57BL
pvalue,0.6966075
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
gene_symbol,Morn5
