gene_symbol,Exd1
mouse_strain,C57BL
gene_accession_id,MGI:3045306
pvalue,0.3083443
parameter_name,Fusion of vertebrae
analysis_id,357z9w6l9t0a44d
parameter_id,M-G-P_006_001_026
mouse_life_stage,Early adult
