analysis_id,8601efu5466nixd
gene_accession_id,MGI:1345282
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
pvalue,0.4190721
mouse_strain,C57BL
parameter_name,Embryo Size
parameter_id,IMPC_GEL_032_001
