parameter_id,TCPLA_CSD_030_001
mouse_strain,C57BL
parameter_name,Tremor
pvalue,0.8749402
gene_symbol,Cmpk1
analysis_id,o6h653j918285u2
gene_accession_id,MGI:1913838
mouse_life_stage,Early adult
