parameter_name,18kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_008_001
mouse_strain,C57BL
gene_symbol,Usp37
pvalue,0.3437708
analysis_id,543463k4365dz62
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
