gene_symbol,Plcb1
parameter_id,ESLIM_008_001_013
analysis_id,4c5y8ttuaq46700
gene_accession_id,MGI:97613
mouse_life_stage,Late adult
parameter_name,Startle response
mouse_strain,C57BL
pvalue,0.6920136
