analysis_id,b383703ks2a4434
parameter_id,MGP_CSD_067_001
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
mouse_strain,C57BL
parameter_name,Snout size
mouse_life_stage,E12.5
pvalue,0.9973078
