analysis_id,95r72ac6455z983
gene_accession_id,MGI:1914309
gene_symbol,Ola1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_025_001
parameter_name,DN CD25- NKT cells
pvalue,0.863764
mouse_strain,C57BL
