analysis_id,599c39633128gq7
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
pvalue,0.8085593
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_strain,C53BL
parameter_id,MGP_IMM_094_001
