parameter_name,Latency to center entry
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
pvalue,0.791401
mouse_life_stage,Early adult
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
analysis_id,66j1703u77o293a
