analysis_id,nfnd1qba4xh2ar7
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
pvalue,0.09384586
mouse_life_stage,E12.5
parameter_name,KLRG1+ CD4- NKT cells - % of CD45+
parameter_id,MGP_IMM_094_001
