gene_symbol,Cds2
mouse_life_stage,Early adult
pvalue,1.470865
gene_accession_id,MGI:1332236
mouse_strain,129SV
parameter_id,IMPC_CBC_003_001
analysis_id,5yua8a1o75104go
parameter_name,Chloride
