parameter_name,Tremor
mouse_life_stage,Early adult
gene_accession_id,MGI:2140475
gene_symbol,AU040320
mouse_strain,C57BL
analysis_id,9cr2mxxi67695r9
pvalue,0.4486146
parameter_id,IMPC_CSD_030_001
