analysis_id,pg9arl5g2dh734h
pvalue,0.2640517
gene_accession_id,MGI:108072
parameter_id,IMPC_ECG_008_001
mouse_life_stage,Early adult
parameter_name,ST
mouse_strain,C57BL
gene_symbol,Traf6
