analysis_id,4fin90et6xy1b0z
gene_symbol,Maco1
pvalue,0.6137444
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GPO_002_001
parameter_name,Placenta Morphology
gene_accession_id,MGI:1913396
