analysis_id,0gdu6w99kq167rl
pvalue,0.3234354
mouse_life_stage,Early adult
gene_symbol,Dhdds
mouse_strain,C57BL
parameter_id,IMPC_DXA_010_001
parameter_name,Bone Area
gene_accession_id,MGI:1914672
