parameter_id,IMPC_XRY_023_001
pvalue,0.9336723
gene_accession_id,MGI:104848
analysis_id,arqi8t5erivl90x
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Inpp1
parameter_name,Ulna
