Analysis_id,72zauy67t2uc9o9
Parameter_name,Center resting time
gene_accession_id,MGI:2670995
parameter_id,JAX_OFD_015_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1372567
Gene_symbol,Trp53i11
