parameter_name,Retinal Blood Vessels
mouse_life_stage,Late adult
pvalue,0.7336697
mouse_strain,C57BL
gene_accession_id,MGI:2446274
analysis_id,dafmc6y92kceo69
parameter_id,IMPC_EYE_024_001
gene_symbol,Frmpd1
