analysis_id,905ao08a3pbh802
parameter_name,CD11b-high cDC - % of CD45+
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_id,MGP_IMM_129_001
pvalue,0.6039184
mouse_strain,C57BL
