parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
analysis_id,44maz5266yjxzt3
pvalue,0.8569625
gene_accession_id,MGI:88071
mouse_life_stage,Early adult
gene_symbol,Arnt
mouse_strain,C57BL
