parameter_name,Distance travelled - total
gene_accession_id,MGI:1914071
analysis_id,8tue86o33mgq16m
mouse_strain,C57BL
gene_symbol,Bcs1l
parameter_id,IMPC_OFD_020_001
pvalue,0.9368365
mouse_life_stage,E9.5
