analysis_id,dnc8sm93g8yv6zl
parameter_name,Mean platelet volume
mouse_strain,C57BL
gene_accession_id,MGI:1913284
mouse_life_stage,Early adult
gene_symbol,Psmd14
pvalue,0.853621
parameter_id,IMPC_HEM_019_001
