gene_symbol,Tbl1xr1
analysis_id,qb34io2n9j07564
parameter_name,Effector CD8+ T cells - % of CD8+
gene_accession_id,MGI:2441730
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.9699526
parameter_id,MGP_IMM_014_001
