gene_symbol,Arpc5l
parameter_name,Stroke Volume
mouse_strain,C57BL
analysis_id,9yk182i58f78579
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
pvalue,0.3534305
gene_accession_id,MGI:1921442
