analysis_id,8o3qehn682nx86r
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
gene_symbol,Mms22l
parameter_id,MGP_IMM_017_001
pvalue,0.4958284
mouse_strain,C57BL
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
