analysis_id,iyqk6szj77e46za
gene_symbol,Tnfsf8
mouse_strain,C57BL
pvalue,0.9267818
parameter_id,IMPC_ACS_035_001
mouse_life_stage,Early adult
parameter_name,% Pre-pulse inhibition - PPI3
gene_accession_id,MGI:88328
