analysis_id,7l1x35e94j62194
gene_accession_id,MGI:1913405
pvalue,0.7741484
mouse_strain,C57BL
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Ufc1
parameter_id,MGP_IMM_073_001
