parameter_name,Fasted blood glucose concentration
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_strain,C57BL
analysis_id,0e02scqt8f8lj29
mouse_life_stage,Early adult
pvalue,0.9434946
parameter_id,IMPC_IPG_010_001
