gene_symbol,Hrnr
gene_accession_id,MGI:3046938
mouse_life_stage,Early adult
pvalue,0.6796092
mouse_strain,C57BL
parameter_name,CD11b-high cDC - % of CD45+
analysis_id,8y6r23q8s221m87
parameter_id,MGP_IMM_129_001
