parameter_name,Femur
gene_symbol,Sprr1b
analysis_id,q39mn903h83in0o
parameter_id,IMPC_XRY_024_001
mouse_life_stage,Early adult
pvalue,0.7460875
gene_accession_id,MGI:106659
mouse_strain,C57BL
