parameter_name,CD8 CD44-CD62L+ T cells
mouse_strain,C57BL
gene_accession_id,MGI:1913576
pvalue,0.1635603
gene_symbol,Dnajc5b
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
analysis_id,02b0os8564zd85n
