analysis_id,or8zsd48cpg1266
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
pvalue,0.9457251
parameter_id,MGP_PBI_030_001
mouse_life_stage,Early adult
gene_accession_id,MGI:891989
gene_symbol,Npbwr1
mouse_strain,C57BL
