parameter_name,Latency to center entry
pvalue,0.4519002
gene_accession_id,MGI:95457
analysis_id,2s311hs6ml7rgv1
mouse_life_stage,E12.5
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
gene_symbol,Mecom
