mouse_life_stage,E12.5
parameter_name,Monocyte percentage
parameter_id,MGP_PBI_016_001
gene_accession_id,MGI:99501
analysis_id,j736z10iik99nw6
mouse_strain,C57BL
pvalue,0.4991016
gene_symbol,Fgb
