gene_symbol,Trdmt1
analysis_id,66r54h2444f0571
parameter_name,RR
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1274787
parameter_id,IMPC_ECG_004_001
pvalue,0.1276143
