gene_symbol,Ints7
mouse_life_stage,E9.5
parameter_id,HRWLLA_FEA_015_001
analysis_id,pgt2nor47sl07as
pvalue,0.0919399
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
gene_accession_id,MGI:1924315
