parameter_name,Fat mass
gene_accession_id,MGI:1274787
mouse_life_stage,Early adult
gene_symbol,Trdmt1
parameter_id,IMPC_DXA_002_001
analysis_id,6f90oj0p7d1qfp1
pvalue,0.5886465
mouse_strain,C57BL
