gene_symbol,Sass6
parameter_id,IMPC_ABR_004_001
analysis_id,702e84vzg40a8uk
mouse_strain,C57BL
parameter_name,6kHz-evoked ABR Threshold
gene_accession_id,MGI:1920026
mouse_life_stage,E12.5
pvalue,0.156339
