analysis_id,n1v196mio8v27bu
pvalue,0.3924118
parameter_id,M-G-P_005_001_001
mouse_strain,C57BL
parameter_name,Weight
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
gene_symbol,Bmi1
