gene_symbol,Dcaf12
analysis_id,gu305vldw24a8qy
gene_accession_id,MGI:1916220
parameter_id,IMPC_CBC_018_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Glucose
pvalue,0.5545868
