parameter_name,BMC/Body weight
parameter_id,HRWLLA_DXA_007_001
gene_accession_id,MGI:2651854
mouse_life_stage,Early adult
gene_symbol,Atg4c
mouse_strain,C57BL
pvalue,0.06858508
analysis_id,1khf7xte0h4g5hh
