gene_symbol,Dnajc5b
mouse_life_stage,Early adult
parameter_id,MGP_PBI_010_001
analysis_id,qrj17xvtl61b5x9
gene_accession_id,MGI:1913576
mouse_strain,C57BL
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell percentage
pvalue,0.4256456
