analysis_id,959zomm936ggf50
parameter_name,Periphery average speed
mouse_strain,C57BL
parameter_id,JAX_OFD_013_001
gene_accession_id,MGI:88328
pvalue,0.6704245
gene_symbol,Tnfsf8
mouse_life_stage,Early adult
