analysis_id,9815u40vh0in8tr
gene_symbol,Gja10
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,Early adult
parameter_id,JAX_SLW_014_001
pvalue,0.9453691
mouse_strain,C57BL
gene_accession_id,MGI:1339969
