gene_symbol,Duoxa2
mouse_strain,C57BL
gene_accession_id,MGI:1914061
analysis_id,5d8zs536v4pad87
mouse_life_stage,Early adult
pvalue,0.2644972
parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
