gene_symbol,Lamb3
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:99915
pvalue,0.4727073
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ICS_FEA_019_001
analysis_id,pn1265usx8p2300
