gene_symbol,Rnf114
pvalue,0.7133856
mouse_strain,C57BL
gene_accession_id,MGI:1933159
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
analysis_id,2z83tqc5fei7257
mouse_life_stage,Early adult
