analysis_id,8j357ds7caw9sk2
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
pvalue,0.953737
mouse_life_stage,E9.5
parameter_id,ESLIM_016_001_002
mouse_strain,C57BL
parameter_name,Red blood cell count
