gene_symbol,Cdin1
pvalue,0.3944039
mouse_life_stage,Early adult
parameter_id,ESLIM_008_001_013
mouse_strain,C57BL
parameter_name,Startle response
gene_accession_id,MGI:3026886
analysis_id,665j4fbd4k31aa3
