parameter_name,Mean cell volume
parameter_id,ESLIM_016_001_005
mouse_life_stage,Early adult
analysis_id,d5ht405of2pdh35
gene_accession_id,MGI:1915325
pvalue,0.9486382
mouse_strain,C57BL
gene_symbol,Lurap1
