analysis_id,j2qn7t7f1u0me1g
gene_symbol,Zmynd8
pvalue,0.7045253
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
mouse_strain,129SV
gene_accession_id,MGI:1918025
parameter_id,MGP_IMM_020_001
