parameter_id,M-G-P_020_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.322693
analysis_id,b9d4s162gn757vq
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
parameter_name,Body Weight
