parameter_name,Forebrain
gene_symbol,Wars2
pvalue,0.9185762
analysis_id,92g213dpz121237
mouse_strain,C57BL
gene_accession_id,MGI:1917810
mouse_life_stage,E12.5
parameter_id,IMPC_GEL_028_001
