mouse_strain,B6J
mouse_life_stage,Early adult
analysis_id,4t06l586faz8mi3
parameter_id,JAX_OFD_010_001
gene_symbol,Nr0b2
pvalue,0.2350218
parameter_name,Periphery distance travelled
gene_accession_id,MGI:1346344
