parameter_name,Percentage center time
mouse_strain,C57BL
gene_symbol,Rab13
mouse_life_stage,Early adult
analysis_id,u129n5dr4db0m35
parameter_id,IMPC_OFD_022_001
gene_accession_id,MGI:1927232
pvalue,0.5290652
