gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
analysis_id,3922s36vop399c1
pvalue,0.3137102
parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
parameter_name,Eye
