analysis_id,xi78w8sz6cw1902
parameter_name,Eosinophils - % of CD45+
gene_accession_id,MGI:1336200
parameter_id,MGP_IMM_125_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Hpca
pvalue,0.7940007
