parameter_name,PP1 startle magnitude
analysis_id,nhr068r84km266s
mouse_strain,C57BL
pvalue,0.8612016
gene_accession_id,MGI:1339969
gene_symbol,Gja10
parameter_id,ESLIM_011_001_002
mouse_life_stage,Early adult
