analysis_id,59o317mm9379j14
parameter_id,MGP_MLN_032_001
gene_symbol,Ivd
pvalue,0.4889049
parameter_name,Effector NK cells - % of NK cells
gene_accession_id,MGI:1929242
mouse_life_stage,Early adult
mouse_strain,C57BL
