analysis_id,j1u433zp9v6c1i1
mouse_strain,129SV
parameter_name,Retinal Blood Vessels Pattern
gene_symbol,Inpp1
pvalue,0.8845508
parameter_id,IMPC_EYE_026_001
mouse_life_stage,Early adult
gene_accession_id,MGI:104848
