analysis_id,d7f046qjs68bh3i
mouse_strain,C57BL
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.1788048
parameter_name,Prepulse inhibition - PP3
