parameter_name,Basophil cell count
pvalue,0.9680585
mouse_life_stage,Early adult
gene_accession_id,MGI:1914944
gene_symbol,Ift74
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
analysis_id,s451i7108vm7ra1
